Ranking,Link,Product Name,Manufacturer,Country of Origin,Item Weight,Price,Number of Customer Ratings,Number of Reviews,Average Rating (out of 5)
31,https://www.bigbasket.com/pd/40142684/chicco-baby-learn-together-oral-care-set-green-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Chicco Baby Learn Together Oral Care Set - Green, 2 pcs  ",Chicco,Origin not found,Item weight not found,Rs 499,186,2,Average rating not found
32,https://www.bigbasket.com/pd/40103228/oral-b-ultrathin-sensitive-toothbrush-extra-soft-for-gentle-effective-cleaning-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Ultrathin Sensitive Toothbrush - Extra Soft, For Gentle & Effective Cleaning, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 135,235,11,4.1
33,https://www.bigbasket.com/pd/30008723/oral-b-sensitive-toothbrush-with-extra-soft-bristles-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Sensitive Toothbrush - With Extra Soft Bristles, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 108,1709,77,4.1
34,https://www.bigbasket.com/pd/20004710/oral-b-toothbrush-all-rounder-cavity-defence-123-medium-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Cavity Defense 123 All Rounder Soft Toothbrush, 1 Pc Pouch ",Oral-B,Origin not found,Item weight not found,Rs 30,299,11,4.0
35,https://www.bigbasket.com/pd/20004707/oral-b-toothbrush-pro-health-sensitive-soft-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Toothbrush Pro Health - Sensitive, Soft, 1 Pc Pouch ",Oral-B,Origin not found,Item weight not found,Rs 90,81,5,3.8
36,https://www.bigbasket.com/pd/20003851/oral-b-criss-cross-anti-plaque-toothbrush-with-flexible-bristles-m-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Anti-Plaque Toothbrush - With Flexible Bristles, M, 2 pcs (Buy 2 & Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 144,2578,108,4.1
37,https://www.bigbasket.com/pd/40204447/dabur-red-pulling-oil-ayurvedic-mouthwash-oral-detox-for-teeth-gums-195-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Red Pulling Oil - Ayurvedic Mouthwash, Oral Detox For Teeth & Gums, 195 ml  ",Dabur,Origin not found,Item weight not found,Rs 206.25,130,72,4.4
38,https://www.bigbasket.com/pd/20003847/oral-b-criss-cross-gum-care-toothbrush-with-extra-long-power-tip-bristles-m-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Gum Care Toothbrush - With Extra-Long Power Tip Bristles, M, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,2 pcs,Rs 171,1208,35,4.2
39,https://www.bigbasket.com/pd/277072/listerine-mouthwash-liquid-cool-mint-removes-999-germs-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cool Mint, Removes 99.9% Germs, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 243,4936,133,4.3
40,https://www.bigbasket.com/pd/20003846/oral-b-criss-cross-gum-care-toothbrush-with-extra-long-power-tip-bristles-soft-2-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Oral-B Criss Cross Gum Care Toothbrush - With Extra-Long Power Tip Bristles, Soft, 2 pcs (Buy 2 Get 2 Free) ",Oral-B,Origin not found,Item weight not found,Rs 150,299,14,4.1
41,https://www.bigbasket.com/pd/40075153/pedigree-dentastix-dog-treat-oral-care-for-adult-large-breed-25-kg-7-sticks-270-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pedigree Dentastix Daily Oral Care - For Adult Large Breed Dogs, -, 270 g (Weekly Pack) ",Pedigree,Origin not found,Item weight not found,Rs 229.50,223,8,4.4
42,https://www.bigbasket.com/pd/40075152/pedigree-dentastix-dog-treat-oral-care-for-adult-medium-breed-10-25-kg-7-sticks-180-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pedigree Dentastix Daily Oral Care - For Adult Medium Breed Dogs, -, 180 g (Weekly Pack) ",Pedigree,Origin not found,180 g,Rs 170,332,5,4.4
43,https://www.bigbasket.com/pd/40061695/formula-tongue-cleaner-1-pc-carton/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Formula Tongue Cleaner, 1 pc Carton ",Formula,Origin not found,Item weight not found,Rs 55,249,9,4.1
44,https://www.bigbasket.com/pd/40137165/listerine-mouthwash-liquid-cool-mint-with-mild-taste-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cool Mint With Mild Taste, 500 ml  ",Listerine,Origin not found,500 ml,Rs 228,478,21,4.3
45,https://www.bigbasket.com/pd/294357/colgate-mouthwash-plax-complete-care-250-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Complete Care, 250 ml  ",Colgate,Origin not found,Item weight not found,Rs 118,186,4,4.5
46,https://www.bigbasket.com/pd/274586/listerine-mouthwash-freshburst-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash - Freshburst, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 228,553,23,4.3
47,https://www.bigbasket.com/pd/263911/colgate-mouthwash-plax-freshmint-splash-100-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Freshmint Splash, 100 ml  ",Colgate,Origin not found,Item weight not found,Rs 55,577,19,4.3
48,https://www.bigbasket.com/pd/40000359/colgate-mouthwash-plax-freshmint-splash-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Plax, Freshmint Splash, 500 ml  ",Colgate,Origin not found,500 ml,Rs 199.50,742,24,4.3
49,https://www.bigbasket.com/pd/20005540/colgate-mouthwash-fresh-tea-500-ml/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Mouthwash - Fresh Tea, 500 ml  ",Colgate,Origin not found,500 ml,Rs 199.50,1453,43,4.3
50,https://www.bigbasket.com/pd/306163/pepsodent-toothbrush-gum-expert-soft-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothbrush - Gum Expert (Soft), 1 pc  ",Pepsodent,Origin not found,Item weight not found,Rs 55,119,7,4.2
51,https://www.bigbasket.com/pd/40019052/pepsodent-toothbrush-germi-check-flexi-action-medium-1-pc-pouch/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Germi Check Flexi Action Medium Toothbrush, 1 pc Pouch ",Pepsodent,Origin not found,Item weight not found,Rs 30,111,3,3.8
52,https://www.bigbasket.com/pd/40000356/colgate-extra-clean-toothbrush-medium-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Extra Clean Toothbrush Medium, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 20,1415,44,4.1
53,https://www.bigbasket.com/pd/40184955/colgate-slim-soft-toothbrush-soft-gentle-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Slim Soft Toothbrush - Soft Gentle, 4 pcs (Buy 2 Get 2 Free) ",Colgate,Origin not found,4 pcs,Rs 120,370,19,4.3
54,https://www.bigbasket.com/pd/40114822/colgate-sensitive-toothbrush-gentle-soft-bristles-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Sensitive Toothbrush - Gentle Soft Bristles, 4 pcs  ",Colgate,Origin not found,4 pcs,Rs 74,5453,208,4.2
